Topic,Count,Name,0,1,2,3,4,5,6,7,8,9
76,134,76_dividende_cahuzac_littéralement_soumettre,dividende,cahuzac,littéralement,soumettre,poumon,investissant,confiscatoire,étouffer,faite,aberration
77,134,77_thématique_facultatif_solution_collecte,thématique,facultatif,solution,collecte,exprimer,habitant,doléance,date,nom,ville
78,131,78_mourir_légalisation_euthanasie_actif,mourir,légalisation,euthanasie,actif,ifop,létal,sondage,décéder,intégrer,réanimation
79,130,79_cahier_débat_national_grand,cahier,débat,national,grand,citoyen,33353,rimons,84400,83560,60510
80,129,80_eaux_amand_les_saint,eaux,amand,les,saint,contact,espérance,fr,expéditeur,zimbra,févr
81,129,81_consultation_thématique_prononcer_inviter,consultation,thématique,prononcer,inviter,issue,lancer,thème,remarque,autour,citoyenneté
82,127,82_musique_danse_conservatoire_tgap,musique,danse,conservatoire,tgap,théâtre,violon,culture,jeune,redevance,sport
83,126,83_jaune_gilet_soutenir_courage,jaune,gilet,soutenir,courage,soutien,persévérez,combat,lâcher,bon,vive
84,126,84_bnri_retard_calendrier_réclamation,bnri,retard,calendrier,réclamation,triage,équipe,hiérarchiser,vigilance,soyon,apolitique
85,125,85_évoluer_renoncer_positif_complexe,évoluer,renoncer,positif,complexe,évolution,vou,démarche,cours,raison,manière
86,124,86_energie_français_référendum_renouvelable,energie,français,référendum,renouvelable,politique,initiative,nucléaire,constitution,vote,peuple
87,124,87_marseille_mdegert_submission_civilité,marseille,mdegert,submission,civilité,secteur,fr,exposer,user,10,2019
88,123,88_hyeres_soumettre_soumission_print,hyeres,soumettre,soumission,print,dll,number,http,yes,utilisateur,secretariat
89,120,89_marché_service_halle_public,marché,service,halle,public,domaine,concessionnaire,démarche,administratif,professionnel,activité
90,118,90_erreur_oui_foi_affirmer,erreur,oui,foi,affirmer,identifier,complexe,vou,autonomie,administration,juger
91,118,91_neuilly_neuillyplaisance_pjulliard_plaisance,neuilly,neuillyplaisance,pjulliard,plaisance,secrétariat,prénom,thème,contact,com,adresse
92,117,92_agent_chose_démarche_accomplissement,agent,chose,démarche,accomplissement,itinérant,polyvalent,effectuer,prise,bon,susceptible
93,117,93_amif_asso_secretariat_attention,amif,asso,secretariat,attention,traiter,association,contribution,date,fr,ordre
94,113,94_justice_prison_police_hol,justice,prison,police,hol,violence,délinquant,belhomme,policier,fermenter,expulsion
95,113,95_victime_relaxe_appel_acquittement,victime,relaxe,appel,acquittement,pénal,peine,détenu,civil,conditionnel,second
96,112,96_rajout_rayer_page_clôture,rajout,rayer,page,clôture,comporte,clore,cachet,contestation,vierge,comptabiliser
97,112,97_transmettre_préfecture_référent_courrier,transmettre,préfecture,référent,courrier,observation,page,indiquer,transmission,départemental,mail
98,111,98_monsieur_prier_fr_cahier,monsieur,prier,fr,cahier,préfet,boulevard,février,maire,réception,fax
99,110,99_handicapé_handicap_handicaper_adulte,handicapé,handicap,handicaper,adulte,allocation,handicape,conjoint,salarier,situation,guérisse
100,109,100_libre_expression_défi_concret,libre,expression,défi,concret,quell,faut,échelon,garantir,vieux,améliorer
101,108,101_aspiration_envoi_fondette_coordonnée,aspiration,envoi,fondette,coordonnée,rapporter,consultation,mars,nom,document,république
102,107,102_crise_illustre_exaction_pacifiste,crise,illustre,exaction,pacifiste,communiquera,cahier,recréer,malaise,constructif,doléance
103,103,103_hyeres_soumission_soumettre_secretariat,hyeres,soumission,soumettre,secretariat,utilisateur,com,anonyme,cabinet,formulaire,fr
104,101,104_immigration_migrant_quota_arrêt,immigration,migrant,quota,arrêt,immigrant,frontière,démission,illégal,familial,renvoyer
105,101,105_impatiemment_suggestion_parole_replacer,impatiemment,suggestion,parole,replacer,écoute,identification,entamer,décisionnel,anonyme,attentif
106,100,106_document_transmettre_préfet_proposition,document,transmettre,préfet,proposition,parlementaire,cahier,rural,doléance,association,maire
107,99,107_image_proposition_document_cahier,image,proposition,document,cahier,transmettre,préfet,doléance,parlementaire,registre,damp
108,99,108_isoler_identifier_zéro_ptz,isoler,identifier,zéro,ptz,efficace,écoprêt,isolation,solidaire,grâce,évoluer
109,98,109_monsieur_voter_président_eurosuro,monsieur,voter,président,eurosuro,voir,peuple,curo,aller,courrier,politique
110,97,110_arranger_aller_chose_vouloir,arranger,aller,chose,vouloir,calme,tension,faire,voir,bon,bien
111,97,111_pesticide_glyphosate_interdiction_bio,pesticide,glyphosate,interdiction,bio,herbicide,développer,agriculture,interdire,animal,polluant
112,96,112_atelier_groupe_synthèse_thème,atelier,groupe,synthèse,thème,restitution,proposition,débat,participant,twh,échange
113,94,113_modalité_intégration_efficace_citoyenneté,modalité,intégration,efficace,citoyenneté,hui,aujourd,exprimer,société,point,démocratie
114,94,114_fiche_pétitionnaire_concertation_gard,fiche,pétitionnaire,concertation,gard,châteaurenard,velluire,comporter,annoncer,observation,décentraliser
115,93,115_bonjour_joint_cordialement_réception,bonjour,joint,cordialement,réception,trouver,joindre,prier,bon,doléance,vouloir
116,93,116_prive_utilement_contracter_améliorer,prive,utilement,contracter,améliorer,commencer,action,indispensable,recul,livrer,compteur
117,93,117_inaliénable_policier_main_liberté,inaliénable,policier,main,liberté,respect,abusif,crevé,restauron,concrétisation,phytothérapie
118,90,118_plomelin_finistère_illustre_fiche,plomelin,finistère,illustre,fiche,questionnaire,invite,maire,remonter,commune,remarque
119,90,119_cahuzac_confiscatoire_sarl_gérant,cahuzac,confiscatoire,sarl,gérant,équipe,01,majoritaire,doélance,désabonnement,compter
120,90,120_club_poney_sport_sportif,club,poney,sport,sportif,équestre,mercredi,équitation,rythme,cheval,ineffectif
121,89,121_élection_vote_république_référendum,élection,vote,république,référendum,français,blanc,législatif,voter,x81,tour
122,89,122_commerce_industrie_fin_rembourser,commerce,industrie,fin,rembourser,davantage,artisan,centre,protéger,socialiser,macdo
123,88,123_commune_français_communauté_habitation,commune,français,communauté,habitation,taxe,direction,payer,directeur,projet,pays
124,86,124_expression_maillon_modération_dialogue,expression,maillon,modération,dialogue,collectivement,quotidiennement,ressenti,structurer,association,messagerie
125,85,125_contribution_injurieux_expédier_formulaire,contribution,injurieux,expédier,formulaire,discriminatoire,vœu,libre,thématique,violent,lisible
126,85,126_transition_biodiversité_douloureuser_impérieux,transition,biodiversité,douloureuser,impérieux,conteste,concret,vieux,tarder,échelon,écologique
127,85,127_littéralement_cahuzac_poumon_soumettre,littéralement,cahuzac,poumon,soumettre,étouffer,aberration,notr,sarl,cotisation,gérant
128,85,128_devillele_dignelesbains_cyrille_cabinet,devillele,dignelesbains,cyrille,cabinet,mairi,envoyé,bain,ville,décembre,attention
129,84,129_alternatif_chauffage_comportement_solution,alternatif,chauffage,comportement,solution,oui,modifier,inciter,convaincre,changer,mobilité
